DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Semana epidem. 1º Sintomas(s)
UF de residência: Paraná
Período:2024
"Município de residência";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Total"
"412750 TIBAGI";-;1;-;-;1;-;4;2;2;-;10
"412760 TIJUCAS DO SUL";-;-;-;-;-;-;-;-;1;-;1
"412770 TOLEDO";56;109;177;217;249;271;440;593;211;26;2349
"412780 TOMAZINA";-;-;-;1;4;2;8;16;5;10;46
"412785 TRES BARRAS DO PARANA";4;10;31;43;69;120;134;233;265;200;1109
"412788 TUNAS DO PARANA";-;-;-;-;-;-;-;1;-;-;1
"412790 TUNEIRAS DO OESTE";10;37;50;103;130;145;107;133;122;98;935
"412795 TUPASSI";-;3;7;7;15;18;20;18;21;2;111
"412796 TURVO";-;-;-;-;1;-;-;-;-;1;2
"412800 UBIRATA";1;9;8;5;12;15;21;35;43;11;160
"412810 UMUARAMA";11;15;27;48;123;184;284;391;357;99;1539
"412820 UNIAO DA VITORIA";-;-;-;-;1;2;1;2;7;3;16
"412830 UNIFLOR";4;5;5;4;11;11;13;16;30;16;115
"412840 URAI";-;1;2;9;12;16;28;19;28;22;137
"412850 WENCESLAU BRAZ";-;-;-;1;1;2;6;14;14;17;55
"412853 VENTANIA";-;-;1;-;1;3;4;8;13;2;32
"412855 VERA CRUZ DO OESTE";1;1;2;7;5;17;13;37;42;11;136
"412860 VERE";2;-;4;-;2;1;8;12;11;27;67
"412862 ALTO PARAISO";-;-;-;1;5;2;10;5;9;9;41
"412870 VITORINO";1;-;-;4;1;6;16;33;38;39;138
"412880 XAMBRE";15;16;10;7;13;9;20;15;10;10;125
"Total";5583;7262;9947;12181;12746;16206;21820;26908;25636;14354;152643
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB
 (Coordenação Geral de Vigilância de Arboviroses - CGARB) em sua série histórica, que para tal, realiza análise ano a ano, com a base congelada para cada ano analisado.
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de
 alarme e dengue grave) é necessário considerar também o critério de confirmação (laboratorial e clínico-epidemiológico).
 A partir de 2020 o estado do Espírito Santo passou a utilizar o sistema e-SUS Vigilância em Saúde. Portanto, para os casos de Arboviroses urbanas do Espírito Santo
 foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiológica, em cada período pode apresentar notificações com data de
 notificação do ano anterior (semana epidemiológica 52 ou 53) e posterior (semana epidemiológica 01).
 Para cálculo da incidência recomenda-se utilizar locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 12/07/2022.
 Dados de 2022 atualizados em 18/07/2023.
 Dados de 2023 atualizados em 04/03/2024 à 01 hora, sujeitos à revisão.
 Dados de 2024 atualizados em 11/03/2024 às 08 horas, sujeitos à revisão.
 * Dados disponibilizados no TABNET em março de 2024.
 
